05CO,Rancho de Aereo Airport
05CT,O And G Heliport
05FA,Melanie's Airport
05FD,Aventura Heliport
05FL,Charlton Strip
05GA,Raju Airport
05IA,Spotts Field
05ID,Running Creek Ranch Airport
05II,Reichhart Airport
05IL,Classic Landings Airport
05IN,Cooper Airport
05IS,Hardy Airport
05KS,Darbro Field
05KT,High Point Farm Airport
05KY,Cartersville Airport
05LA,Greg's Flying Service Airport
05LL,Midwest Heliport
05LS,Grass Roots Airport
05M,Pauls Valley General Hospital Heliport
05MA,Bentley Heliport
05MD,Breezecroft Airport
05ME,Drisko Airport
05MI,Beaumont Hospital Taylor Heliport
05MN,Northern Pines Medical Center Heliport
05MO,Portageville Community Heliport
05MS,VA Medical Center Jackson Heliport
05MT,Jones Landing Airport
05NC,Brunswick Community Hospital Heliport
05NE,Mc Kay Airport
05NH,Stumpfield Heliport
05NJ,Paulus Hook Pier Heliport
05NV,Baker Ranches Airport
05NY,Oswego County At Pulaski Heliport
05OG,Drill Field Pad Heliport
05OH,Eaglecrest Field
05OI,Dorlon Airpark
05OK,Hawk Haven Airport
05OR,Peacock Ranch Airport
05PA,PECO Mob. Heliport
05PN,State Police Area Iii Heliport
05PS,Mills Brothers Airport
05S,Vernonia Airfield
05TA,Brandes Air Field
05TE,Hilde-Griff Field
05TN,Thurmond Glenn Field
05TS,Dew Drop Airport
05TX,Circle A Ranch Airport
05UT,Oljato Airport
05V,Blanca Airport
05VA,Providence Airport
05VT,Port of Highgate Springs Heliport
05WA,Sacred Heart Medical Center Helistop
05WI,Ames Private Airport
05WN,Flat Creek Field
05XA,Moore County Hospital District Heliport
05XS,Johnson Memorial Airport
05Y,Henning Municipal Airport
06AA,Twisted Sisters Airport
06AK,June Lake Airpark
06AL,Brown Stagefield Army Heliport
06AR,Bondair Airport
06AZ,Mercy Gilbert Medical Center Heliport
06B,Lucky Landing Marina and Seaplane Base
06CA,SCE Solar I Heliport
06CL,Abc7-Tv Heliport
06CO,Jecan Airport
06FA,William P Gwinn Airport
06FD,Grass Roots Airpark
06FL,Morton Plant Hospital Heliport
06GA,Smith Heliport
06I,Patoka Reservoir Landing Area Seaplane Base
06IA,Rich Field
06ID,Larkin Airport
06IL,Humm Airport
06IS,Sinele Strip
06KS,Riverside Hospital Airlift Heliport
06KY,Falcon Heliport
06LA,Panther Helicopters Inc Heliport
06LL,Hammersmith Heliport
06LS,Tembec Heliport
06MA,The Barn Heliport
06MD,Johns Hopkins Bayview Hospital Heliport
06ME,Barker Heliport
06MI,W A Foote Memorial Hospital Heliport
06MO,Noahs Ark Airport
06MT,Torgerson Airport
06N,Randall Airport
06NC,Tailwinds Airport
06ND,Fitterer's Strip
06NE,St Marys Hospital Heliport
06NH,Cole Farm Airport
06NJ,Chemical Bank - New Jersey Na Heliport
06NV,Silver Creek Airport
06NY,Murphy Field
06O1,Saint Elizabeth Medical Center Heliport
06OH,Hal Joy Airfield
06OI,Green Acres Airport
06OK,Albert Lodge Heliport
06OR,Hayden Mountain Airport
06PA,Freefall Oz Airport
06PN,Schiavoni Heliport
06PS,Cherokee Island Castle Heliport
06R,Grawunder Field
06SN,Beyer Farm Airport
06TA,Glaser Field
06TE,Ainsworth Airport
06TN,Hunter STOLport
06TS,Roscoe Mc Connico Airport
